ID,Fire,Plot_ID,PlotID_noyr,Year,Species,OMU,DBH,TotHeight,LYHeight,LYGrowth,BudScars,Sprouts,Tally,Comments,fire_year,seed_estab_yr,post_fire_estab,max_ht,value,Visit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,6,NA,NA,NA,2004,2010,6,100,3,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,6,NA,NA,NA,2004,2010,6,100,3,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,7,NA,NA,NA,2004,2009,5,100,2,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,7,NA,NA,NA,2004,2009,5,100,2,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,8,NA,NA,NA,2004,2008,4,100,1,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,9,NA,NA,NA,2004,2007,3,100,3,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,9,NA,NA,NA,2004,2007,3,100,3,revisit
NA,SIM,SIM001,NA,2016,PSME,NA,NA,NA,NA,NA,9,NA,NA,NA,2004,2007,3,100,3,revisit
NA,SIM,SIM001,NA,2016,ARME,NA,NA,NA,NA,NA,2,NA,NA,NA,2004,2014,10,23,2,revisit
NA,SIM,SIM001,NA,2016,ARME,NA,NA,NA,NA,NA,2,NA,NA,NA,2004,2014,10,23,2,revisit
NA,SIM,SIM001,NA,2016,ARME,NA,NA,NA,NA,NA,3,NA,NA,NA,2004,2013,9,23,1,revisit
NA,SIM,SIM001,NA,2016,ARME,NA,NA,NA,NA,NA,5,NA,NA,NA,2004,2011,7,23,1,revisit
NA,SIM,SIM001,NA,2016,QUKE,NA,NA,NA,NA,NA,2,NA,NA,NA,2004,2014,10,20,1,revisit
NA,SIM,SIM001,NA,2016,QUKE,NA,NA,NA,NA,NA,6,NA,NA,NA,2004,2010,6,20,1,revisit
NA,SIM,SIM006,NA,2016,ARME,NA,NA,NA,NA,NA,2,NA,NA,NA,2004,2014,10,120,1,revisit
NA,SIM,SIM006,NA,2016,ARME,NA,NA,NA,NA,NA,3,NA,NA,NA,2004,2013,9,120,4,revisit
NA,SIM,SIM006,NA,2016,ARME,NA,NA,NA,NA,NA,3,NA,NA,NA,2004,2013,9,120,4,revisit
NA,SIM,SIM006,NA,2016,ARME,NA,NA,NA,NA,NA,3,NA,NA,NA,2004,2013,9,120,4,revisit
NA,SIM,SIM006,NA,2016,ARME,NA,NA,NA,NA,NA,3,NA,NA,NA,2004,2013,9,120,4,revisit
NA,SIM,SIM006,NA,2016,ARME,NA,NA,NA,NA,NA,5,NA,NA,NA,2004,2011,7,120,2,revisit
NA,SIM,SIM006,NA,2016,ARME,NA,NA,NA,NA,NA,5,NA,NA,NA,2004,2011,7,120,2,revisit
NA,SIM,SIM006,NA,2016,ARME,NA,NA,NA,NA,NA,6,NA,NA,NA,2004,2010,6,120,1,revisit
NA,SIM,SIM006,NA,2016,ARME,NA,NA,NA,NA,NA,7,NA,NA,NA,2004,2009,5,120,1,revisit
NA,SIM,SIM006,NA,2016,PSME,NA,NA,NA,NA,NA,1,NA,NA,NA,2004,2015,11,110,1,revisit
NA,SIM,SIM006,NA,2016,PSME,NA,NA,NA,NA,NA,3,NA,NA,NA,2004,2013,9,110,3,revisit
NA,SIM,SIM006,NA,2016,PSME,NA,NA,NA,NA,NA,3,NA,NA,NA,2004,2013,9,110,3,revisit
NA,SIM,SIM006,NA,2016,PSME,NA,NA,NA,NA,NA,3,NA,NA,NA,2004,2013,9,110,3,revisit
NA,SIM,SIM006,NA,2016,PSME,NA,NA,NA,NA,NA,4,NA,NA,NA,2004,2012,8,110,1,revisit
NA,SIM,SIM006,NA,2016,PSME,NA,NA,NA,NA,NA,5,NA,NA,NA,2004,2011,7,110,1,revisit
NA,SIM,SIM006,NA,2016,PSME,NA,NA,NA,NA,NA,8,NA,NA,NA,2004,2008,4,110,1,revisit
NA,SIM,SIM006,NA,2016,PSME,NA,NA,NA,NA,NA,9,NA,NA,NA,2004,2007,3,110,1,revisit
NA,SIM,SIM006,NA,2016,PSME,NA,NA,NA,NA,NA,10,NA,NA,NA,2004,2006,2,110,3,revisit
NA,SIM,SIM006,NA,2016,PSME,NA,NA,NA,NA,NA,10,NA,NA,NA,2004,2006,2,110,3,revisit
NA,SIM,SIM006,NA,2016,PSME,NA,NA,NA,NA,NA,10,NA,NA,NA,2004,2006,2,110,3,revisit
NA,SIM,SIM006,NA,2016,PSME,NA,NA,NA,NA,NA,11,NA,NA,NA,2004,2005,1,110,3,revisit
NA,SIM,SIM006,NA,2016,PSME,NA,NA,NA,NA,NA,11,NA,NA,NA,2004,2005,1,110,3,revisit
NA,SIM,SIM006,NA,2016,PSME,NA,NA,NA,NA,NA,11,NA,NA,NA,2004,2005,1,110,3,revisit
NA,SIM,SIM008,NA,2016,PSME,NA,NA,NA,NA,NA,3,NA,NA,NA,2004,2013,9,130,1,revisit
NA,SIM,SIM008,NA,2016,PSME,NA,NA,NA,NA,NA,5,NA,NA,NA,2004,2011,7,130,2,revisit
NA,SIM,SIM008,NA,2016,PSME,NA,NA,NA,NA,NA,5,NA,NA,NA,2004,2011,7,130,2,revisit
NA,SIM,SIM008,NA,2016,PSME,NA,NA,NA,NA,NA,6,NA,NA,NA,2004,2010,6,130,1,revisit
NA,SIM,SIM008,NA,2016,PSME,NA,NA,NA,NA,NA,7,NA,NA,NA,2004,2009,5,130,1,revisit
NA,SIM,SIM008,NA,2016,PSME,NA,NA,NA,NA,NA,8,NA,NA,NA,2004,2008,4,130,1,revisit
